timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730844021489,252,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-120,text,true,,1367,191,1,1,https://api.clickup.com/api/v2//team,252,0,57
1730844021742,173,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-120,text,true,,1209,191,2,2,https://api.clickup.com/api/v2/user,173,0,0
1730844021783,280,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-119,text,true,,1367,191,2,2,https://api.clickup.com/api/v2//team,280,0,84
1730844021916,252,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-120,text,true,,1367,191,3,3,https://api.clickup.com/api/v2//team,252,0,72
1730844022064,198,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-119,text,true,,1208,191,4,4,https://api.clickup.com/api/v2/user,198,0,0
1730844022169,102,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-120,text,true,,1209,191,4,4,https://api.clickup.com/api/v2/user,102,0,0
1730844022181,213,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-20,text,true,,1367,191,5,5,https://api.clickup.com/api/v2//team,213,0,59
1730844022082,350,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-118,text,true,,1367,191,5,5,https://api.clickup.com/api/v2//team,350,0,64
1730844022264,243,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-119,text,true,,1367,191,5,5,https://api.clickup.com/api/v2//team,243,0,65
1730844022272,260,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-120,text,true,,1366,191,5,5,https://api.clickup.com/api/v2//team,260,0,67
1730844022432,121,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-118,text,true,,1209,191,5,5,https://api.clickup.com/api/v2/user,121,0,0
1730844022395,190,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-20,text,true,,1209,191,5,5,https://api.clickup.com/api/v2/user,190,0,0
1730844022382,217,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-117,text,true,,1367,191,5,5,https://api.clickup.com/api/v2//team,217,0,71
1730844022507,111,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-119,text,true,,1209,191,5,5,https://api.clickup.com/api/v2/user,111,0,0
1730844022532,162,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-120,text,true,,1209,191,6,6,https://api.clickup.com/api/v2/user,162,0,0
1730844022599,138,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-117,text,true,,1209,191,6,6,https://api.clickup.com/api/v2/user,138,0,0
1730844022553,231,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-118,text,true,,1367,191,6,6,https://api.clickup.com/api/v2//team,231,0,66
1730844022585,233,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-20,text,true,,1367,191,6,6,https://api.clickup.com/api/v2//team,233,0,72
1730844022784,115,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-118,text,true,,1209,191,6,6,https://api.clickup.com/api/v2/user,115,0,0
1730844022694,239,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-120,text,true,,1366,191,6,6,https://api.clickup.com/api/v2//team,239,0,59
1730844022619,346,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-119,text,true,,1367,191,6,6,https://api.clickup.com/api/v2//team,346,0,68
1730844022680,314,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-116,text,true,,1366,191,7,7,https://api.clickup.com/api/v2//team,314,0,59
1730844022933,105,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-120,text,true,,1209,191,7,7,https://api.clickup.com/api/v2/user,105,0,0
1730844022818,229,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-20,text,true,,1209,191,7,7,https://api.clickup.com/api/v2/user,229,0,0
